일자,시도명,읍면동명,거주인구,근무인구,방문인구,총 유동인구,평균 속도,평균 소요 시간,평균 기온,일강수량,평균 풍속,교통량
2018-01-02,서귀포시,송산동,214099.796,19703.263,101344.384,335147.443,46.22,30.488,7.2,0,1.6,113.341
2018-01-02,서귀포시,중앙동,46667.854,13370.439,107407.863,167446.156,60.286,32.429,7.2,0,1.6,0
2018-01-02,제주시,한림읍,449422.597,47793.994,183097.168,680313.76,50.583,62.486,5.6,0,2.75,0
2018-01-02,제주시,삼양동,444002.084,21070.328,100109.008,565181.421,31.571,17,2.8,0,1.9,749.857
2018-01-02,서귀포시,효돈동,89649.315,6276.255,37765.467,133691.037,39.2,20.333,4.2,0,2.8,0
2018-01-02,제주시,한경면,130878.088,10619.505,59599.794,201097.387,51.75,44.607,5.6,0,2.75,608.607
2018-01-02,서귀포시,서홍동,118550.87,7866.81,75425.624,201843.305,38.111,28.333,7.2,0,1.6,0
2018-01-02,서귀포시,표선면,199860.13,21478.324,136527.45,357865.904,48.943,35.029,5.3,0,2.8,0
2018-01-02,제주시,삼도2동,103720.698,13640.306,133075.902,250436.907,28.333,17.667,3.8,0,2.7,0
2018-01-02,제주시,이도1동,160605.538,37956.727,185256.188,383818.453,31.875,22.5,3.8,0,2.7,1147.125
2018-01-02,서귀포시,대륜동,274275.002,28550.465,184505.763,487331.231,38.852,33.222,7.2,0,1.6,0
2018-01-02,제주시,이도2동,1241989.825,178846.35,599795.919,2020632.094,27.692,40.5,3.8,0,2.7,332.692
2018-01-02,제주시,아라동,758664.972,119335.078,273869.538,1151869.588,39.444,61.111,1.2,0,2.433,1399.074
2018-01-02,서귀포시,성산읍,290422.111,23275.891,201836.665,515534.666,47.913,56.043,5.3,0,2.8,0
2018-01-02,제주시,조천읍,412802.142,48971.498,255022.157,716795.797,51.771,47.229,2.8,0,1.9,0
2018-01-02,제주시,용담1동,155048.003,14697.818,104447.964,274193.785,32.667,16.5,3.8,0,2.7,922.5
